id_transacao,id_cliente_origem,id_cliente_destino,data_transacao,valor,canal,cidade_transacao,cidade_origem,flag_suspeita,flag_fraude_confirmada,mes
TX04000001,C144,EXT195,2025-04-04 16:42:36,3434.57,TED,Jataizinho,Jataizinho,0,0,abril
TX04000002,C134,EXT256,2025-04-05 12:04:38,1096.15,Boleto,Telêmaco Borba,Telêmaco Borba,0,0,abril
TX04000003,C088,EXT668,2025-04-16 15:36:13,1424.09,Cartão Débito,Ibiporã,Londrina,0,0,abril
TX04000004,C124,EXT498,2025-04-14 04:13:02,2549.0,PIX,Cambé,Assaí,0,0,abril
TX04000005,C087,EXT400,2025-04-20 19:52:28,1174.93,PIX,Londrina,Londrina,0,0,abril
TX04000006,C062,EXT714,2025-04-05 01:14:52,420.55,Cartão Débito,Cornélio Procópio,Londrina,0,0,abril
TX04000007,C049,EXT304,2025-04-27 13:48:18,133.78,PIX,Londrina,Londrina,0,0,abril
TX04000008,C100,EXT322,2025-04-09 23:23:48,731.75,PIX,Londrina,Londrina,0,0,abril
TX04000009,C022,C131,2025-04-04 14:13:33,295.76,PIX,Ibiporã,Londrina,0,0,abril
TX04000010,C138,EXT070,2025-04-08 07:23:18,646.47,TED,Ibiporã,Ibiporã,0,0,abril
TX04000011,C023,C107,2025-04-16 00:26:52,2577.58,PIX,Londrina,Londrina,0,0,abril
TX04000012,C030,EXT598,2025-04-04 14:55:19,470.49,TED,Londrina,Londrina,0,0,abril
TX04000013,C096,EXT734,2025-04-14 21:11:46,156.25,PIX,Londrina,Londrina,0,0,abril
TX04000014,C012,EXT308,2025-04-28 06:03:19,528.62,PIX,Ibiporã,Londrina,0,0,abril
TX04000015,C119,EXT577,2025-04-02 10:56:26,2847.98,Cartão Débito,Rolândia,Rolândia,0,0,abril
TX04000016,C123,EXT136,2025-04-10 23:38:39,381.16,Cartão Débito,Arapongas,Ortigueira,0,0,abril
TX04000017,C136,EXT449,2025-04-25 16:13:06,1251.89,Boleto,Cornélio Procópio,Cornélio Procópio,0,0,abril
TX04000018,C053,EXT837,2025-04-29 13:31:55,0.62,TED,Ibiporã,Londrina,0,0,abril
TX04000019,C043,EXT912,2025-04-23 08:57:05,521.69,PIX,Londrina,Londrina,0,0,abril
TX04000020,C098,EXT216,2025-04-27 02:14:22,436.23,DOC,Londrina,Londrina,0,0,abril
TX04000021,C118,EXT258,2025-04-19 04:53:11,215.89,Cartão Débito,Ibiporã,Apucarana,0,0,abril
TX04000022,C003,EXT046,2025-04-02 10:36:23,916.51,PIX,Londrina,Londrina,0,0,abril
