id_transacao,id_cliente_origem,id_cliente_destino,data_transacao,valor,canal,cidade_transacao,cidade_origem,flag_suspeita,flag_fraude_confirmada,mes
TX06000001,C038,EXT995,2025-06-08 20:02:35,1490.7,Cartão Débito,Londrina,Londrina,0,0,junho
TX06000002,C128,EXT762,2025-06-20 11:37:47,492.03,PIX,Bandeirantes,Bandeirantes,0,0,junho
TX06000003,C143,EXT932,2025-06-15 10:48:13,2794.24,PIX,Arapongas,Arapongas,0,0,junho
TX06000004,C089,C130,2025-06-28 12:28:00,3683.14,DOC,Londrina,Londrina,0,0,junho
TX06000005,C053,EXT575,2025-06-01 14:10:32,609.54,DOC,Londrina,Londrina,0,0,junho
TX06000006,C069,EXT102,2025-06-11 19:54:44,857.12,PIX,Londrina,Londrina,0,0,junho
TX06000007,C034,EXT839,2025-06-03 21:12:29,531.96,PIX,Londrina,Londrina,0,0,junho
TX06000008,C003,C146,2025-06-17 07:54:42,309.83,TED,Londrina,Londrina,0,0,junho
TX06000009,C074,EXT888,2025-06-29 12:35:21,1817.01,PIX,Londrina,Londrina,0,0,junho
TX06000010,C127,EXT275,2025-06-05 09:03:54,1256.58,TED,Cornélio Procópio,Cornélio Procópio,0,0,junho
TX06000011,C045,C071,2025-06-03 01:39:35,548.53,PIX,Londrina,Londrina,0,0,junho
TX06000012,C076,EXT487,2025-06-17 14:01:46,17.38,PIX,Londrina,Londrina,0,0,junho
TX06000013,C075,EXT628,2025-06-12 03:11:46,1731.05,TED,Londrina,Londrina,0,0,junho
TX06000014,C114,EXT567,2025-06-07 22:25:37,778.66,PIX,Assaí,Telêmaco Borba,0,0,junho
TX06000015,C045,EXT132,2025-06-02 19:24:26,91.07,TED,Londrina,Londrina,0,0,junho
TX06000016,C002,EXT833,2025-06-06 06:48:12,159.56,PIX,Londrina,Londrina,0,0,junho
TX06000017,C109,C073,2025-06-19 10:34:22,1187.85,PIX,Jataizinho,Arapongas,0,0,junho
TX06000018,C093,EXT900,2025-06-18 04:36:30,948.47,Boleto,Londrina,Londrina,0,0,junho
TX06000019,C135,EXT927,2025-06-30 05:16:02,330.08,TED,Telêmaco Borba,Telêmaco Borba,0,0,junho
TX06000020,C121,EXT964,2025-06-12 09:38:10,180.82,PIX,Assaí,Assaí,0,0,junho
TX06000021,C096,EXT094,2025-06-14 05:04:20,2592.62,Boleto,Londrina,Londrina,0,0,junho
TX06000022,C060,EXT975,2025-06-15 03:09:20,173.85,TED,Londrina,Londrina,0,0,junho
TX06000023,C039,C080,2025-06-11 05:56:42,107.48,PIX,Londrina,Londrina,0,0,junho
TX06000024,C118,EXT706,2025-06-06 12:27:44,1160.92,PIX,Apucarana,Apucarana,0,0,junho
TX06000025,C064,EXT049,2025-06-12 02:00:51,349.31,PIX,Londrina,Londrina,0,0,junho
TX06000026,C010,EXT500,2025-06-03 01:16:03,1282.63,Boleto,Londrina,Londrina,0,0,junho
TX06000027,C056,EXT239,2025-06-14 21:22:35,805.89,PIX,Bandeirantes,Londrina,0,0,junho
TX06000028,C112,EXT812,2025-06-29 00:23:34,284.76,TED,Uraí,Uraí,0,0,junho
TX06000029,C115,EXT288,2025-06-23 18:57:31,86.62,PIX,Assaí,Assaí,0,0,junho
TX06000030,C081,EXT779,2025-06-29 18:48:33,87.92,PIX,Londrina,Londrina,0,0,junho
TX06000031,C146,EXT236,2025-06-16 13:51:29,1057.86,Boleto,Assaí,Assaí,0,0,junho
TX06000032,C014,EXT107,2025-06-15 01:33:12,1703.8,PIX,Londrina,Londrina,0,0,junho
TX06000033,C045,EXT113,2025-06-24 18:25:41,1404.1,PIX,Londrina,Londrina,0,0,junho
TX06000034,C136,EXT062,2025-06-27 03:41:19,1078.3,PIX,Cornélio Procópio,Cornélio Procópio,0,0,junho
TX06000035,C096,EXT376,2025-06-22 12:32:33,284.28,PIX,Bandeirantes,Londrina,0,0,junho
TX06000036,C063,EXT531,2025-06-25 19:15:35,2374.77,PIX,Londrina,Londrina,0,0,junho
TX06000037,C081,EXT744,2025-06-10 11:08:20,1189.37,PIX,Londrina,Londrina,0,0,junho
TX06000038,C120,EXT720,2025-06-06 06:06:28,1421.78,PIX,Cambé,Cambé,0,0,junho
TX06000039,C124,EXT872,2025-06-10 03:43:12,304.06,PIX,Assaí,Assaí,0,0,junho
TX06000040,C150,EXT771,2025-06-11 19:31:29,363.75,PIX,Uraí,Ibiporã,0,0,junho
TX06000041,C085,EXT138,2025-06-04 15:22:46,2857.3,Cartão Débito,Londrina,Londrina,0,0,junho
TX06000042,C127,EXT538,2025-06-27 22:56:20,775.68,PIX,Cornélio Procópio,Cornélio Procópio,0,0,junho
TX06000043,C146,EXT645,2025-06-12 10:10:25,968.5,TED,Cornélio Procópio,Assaí,0,0,junho
TX06000044,C113,EXT878,2025-06-01 08:08:47,140.87,PIX,Ibiporã,Ibiporã,0,0,junho
TX06000045,C025,EXT677,2025-06-09 02:04:57,602.19,PIX,Arapongas,Londrina,0,0,junho
TX06000046,C135,EXT232,2025-06-08 02:10:47,2616.82,PIX,Telêmaco Borba,Telêmaco Borba,0,0,junho
TX06000047,C035,EXT028,2025-06-29 10:34:03,2764.92,PIX,Londrina,Londrina,0,0,junho
TX06000048,C093,EXT108,2025-06-18 00:55:47,1571.88,TED,Londrina,Londrina,0,0,junho
TX06000049,C053,EXT894,2025-06-04 16:12:37,946.63,TED,Londrina,Londrina,0,0,junho
TX06000050,C063,EXT150,2025-06-22 15:20:26,3205.29,PIX,Londrina,Londrina,0,0,junho
TX06000051,C010,EXT731,2025-06-27 10:59:17,2465.38,Boleto,Londrina,Londrina,0,0,junho
TX06000052,C134,EXT924,2025-06-06 03:57:28,2247.7,TED,Telêmaco Borba,Telêmaco Borba,0,0,junho
TX06000053,C056,C049,2025-06-19 07:03:32,2562.53,DOC,Londrina,Londrina,0,0,junho
TX06000054,C046,EXT232,2025-06-11 03:48:50,724.49,PIX,Londrina,Londrina,0,0,junho
TX06000055,C029,EXT332,2025-06-27 23:10:40,894.57,TED,Londrina,Londrina,0,0,junho
TX06000056,C138,EXT947,2025-06-04 09:14:34,662.0,PIX,Ibiporã,Ibiporã,0,0,junho
TX06000057,C043,EXT624,2025-06-19 11:53:52,1616.8,Cartão Débito,Londrina,Londrina,0,0,junho
TX06000058,C091,EXT311,2025-06-12 12:26:36,1075.57,PIX,Astorga,Londrina,0,0,junho
TX06000059,C037,EXT194,2025-06-18 01:29:49,86.69,PIX,Londrina,Londrina,0,0,junho
TX06000060,C010,EXT492,2025-06-25 20:27:48,176.25,PIX,Londrina,Londrina,0,0,junho
TX06000061,C148,EXT085,2025-06-01 00:12:34,256.31,DOC,Ortigueira,Ortigueira,0,0,junho
TX06000062,C143,C062,2025-06-22 03:02:37,1332.41,PIX,Arapongas,Arapongas,0,0,junho
TX06000063,C115,C106,2025-06-19 03:37:25,139.58,PIX,Assaí,Assaí,0,0,junho
TX06000064,C133,EXT444,2025-06-24 13:43:51,933.97,PIX,Ortigueira,Ortigueira,0,0,junho
TX06000065,C026,C115,2025-06-23 02:32:58,2205.38,Cartão Débito,Londrina,Londrina,0,0,junho
TX06000066,C044,EXT120,2025-06-10 12:22:16,3536.66,PIX,Londrina,Londrina,0,0,junho
TX06000067,C040,C049,2025-06-18 19:48:29,670.83,PIX,Londrina,Londrina,0,0,junho
TX06000068,C090,EXT168,2025-06-20 10:47:04,914.82,TED,Cambé,Londrina,0,0,junho
TX06000069,C097,EXT659,2025-06-02 05:28:08,2137.18,Cartão Débito,Londrina,Londrina,0,0,junho
TX06000070,C127,EXT966,2025-06-22 10:38:09,3293.81,Boleto,Cambé,Cornélio Procópio,0,0,junho
TX06000071,C019,EXT416,2025-06-01 05:11:44,592.88,PIX,Astorga,Londrina,0,0,junho
