id_transacao,id_cliente_origem,id_cliente_destino,data_transacao,valor,canal,cidade_transacao,cidade_origem,flag_suspeita,flag_fraude_confirmada,mes
TX05000001,C144,EXT279,2025-05-21 19:59:14,139.55,TED,Jataizinho,Jataizinho,0,0,maio
TX05000002,C114,EXT946,2025-05-27 22:33:31,753.77,PIX,Telêmaco Borba,Telêmaco Borba,0,0,maio
TX05000003,C056,EXT546,2025-05-23 14:23:15,974.52,DOC,Ortigueira,Londrina,0,0,maio
TX05000004,C075,EXT076,2025-05-14 00:56:53,1198.12,TED,Telêmaco Borba,Londrina,0,0,maio
TX05000005,C004,EXT683,2025-05-06 03:55:51,5443.28,TED,Londrina,Londrina,1,1,maio
TX05000006,C020,EXT199,2025-05-13 14:14:38,2994.87,PIX,Londrina,Londrina,0,0,maio
TX05000007,C028,EXT047,2025-05-07 21:15:43,605.74,Boleto,Telêmaco Borba,Londrina,0,0,maio
TX05000008,C035,EXT225,2025-05-22 18:15:10,144.51,PIX,Cambé,Londrina,0,0,maio
TX05000009,C130,EXT856,2025-05-25 12:47:37,290.17,PIX,Rolândia,Rolândia,0,0,maio
TX05000010,C058,EXT116,2025-05-22 05:44:23,229.1,DOC,Assaí,Londrina,0,0,maio
TX05000011,C126,EXT301,2025-05-29 09:10:22,528.09,TED,Ibiporã,Ibiporã,0,0,maio
TX05000012,C049,EXT591,2025-05-26 18:14:51,2509.71,Cartão Débito,Londrina,Londrina,0,0,maio
TX05000013,C036,EXT984,2025-05-13 10:39:55,691.44,DOC,Astorga,Londrina,0,0,maio
TX05000014,C011,EXT941,2025-05-23 15:39:19,1005.19,PIX,Telêmaco Borba,Londrina,0,0,maio
TX05000015,C144,EXT146,2025-05-22 03:04:53,236.92,DOC,Jataizinho,Jataizinho,0,0,maio
TX05000016,C109,EXT337,2025-05-12 10:04:46,814.73,PIX,Maringá,Arapongas,0,0,maio
TX05000017,C145,EXT245,2025-05-12 14:58:49,2482.23,PIX,Rolândia,Ibiporã,0,0,maio
TX05000018,C002,EXT275,2025-05-08 15:32:13,1781.82,Cartão Débito,Londrina,Londrina,0,0,maio
TX05000019,C148,EXT118,2025-05-14 17:29:40,101.61,DOC,Ortigueira,Ortigueira,0,0,maio
TX05000020,C092,EXT548,2025-05-17 02:36:26,2377.23,PIX,Londrina,Londrina,0,0,maio
TX05000021,C093,EXT168,2025-05-21 16:47:32,383.96,TED,Londrina,Londrina,0,0,maio
TX05000022,C092,EXT766,2025-05-12 13:18:56,1314.92,Boleto,Londrina,Londrina,0,0,maio
TX05000023,C141,EXT874,2025-05-01 10:59:07,189.93,Cartão Débito,Ortigueira,Bandeirantes,0,0,maio
TX05000024,C089,EXT551,2025-05-30 01:19:30,1347.4,Cartão Débito,Londrina,Londrina,0,0,maio
TX05000025,C097,EXT981,2025-05-03 19:11:50,43.63,PIX,Londrina,Londrina,0,0,maio
